log,object,object_pose,regeneration,n_raw,after_regeneration,already_admissible,flipped,dead_zone,after_topdown_cone,after_scene_floor_corridor,after_table_gate,after_wall_sweep,outcome
run_nube_sin_caja.log,black_gloves,P4,off,400,,,,,47,4,2,2,OK
run_pared_ajuste_fino_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_pared_base_0806.log,brown_gloves,P1,on,400,39,0,21,361,36,18,1,0,PICK-FAIL
run_pared_base_0806.log,brown_gloves,P2,on,400,26,0,5,374,26,13,2,0,PICK-FAIL
run_pared_beso_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_pared_doble_recorte_0806.log,rubiks_cube,P1,off,400,,,,,,,,,
run_pared_mirar_0806.log,brown_gloves,P1,on,400,48,2,21,352,45,20,,0,PLACE-FAIL
run_pared_mirar_0806.log,brown_gloves,P2,on,400,23,0,6,377,20,10,,0,PLACE-FAIL
run_pared_mirar_0806.log,brown_gloves,P3,on,400,89,14,47,311,89,28,3,0,PLACE-FAIL
run_pared_mirar_0806.log,brown_gloves,P4,on,400,48,2,20,352,45,17,,0,PICK-FAIL
